Entity_ID,Entity_Type ,Name,Short_description,Date/time,Desired_CTA_Link 1,FullText,News_Category,Keywords,News_ID,Products_ID,Resources_ID,News_CONF,Products_CONF,Resources_CONF
news_0,news,Merchant Spotlight: Popular food truck Meatball Joe uses technology to manage expansion,"Joe Paolercio, owner of Meatball Joe, knew he could make an incredible product. But as his business grew, he realized he couldn’t be everywhere at once. Here’s how he uses technology to make sure every aspect of Meatball Joe runs smoothly, whether he’s there or not. Joe Paolercio can’t really remember a time without his […]…",17-01-2016,https://blog.clover.com/merchant-spotlight/merchant-spotlight-popular-food-truck-meatball-joe-uses-technology-manage-expansion/,"Joe Paolercio, owner of Meatball Joe, knew he could make an incredible product. But as his business grew, he realized he couldn’t be everywhere at once. Here’s how he uses technology to make sure every aspect of Meatball Joe runs smoothly, whether he’s there or not.

Joe Paolercio can’t really remember a time without his grandmother’s famous Sunday sauce. As he grew up, he proudly became an official taste tester for her, learning each step in making her perfectly-balanced sauce with meatballs.
Now, years later, Joe runs Meatball Joe, a food truck slinging meatballs of all types. He proudly offers traditional Italian-style, chicken, risotto, and even veggie balls that delight customers. They use locally sourced ingredients including fresh local vegetables and antibiotic- and hormone-free meats.
Launched in early 2016, Joe was savvy about investing in technology up front, and did research to select the point-of-sale system that would be best for him.
“I ended up with the Clover because i just needed something to process credit cards. What I didn’t know is that my credit card processing machine could be so much more. When the Clover was introduced to me, I started to gather what the Clover could represent in my business.”
One example Joe cites is tracking his sales. “If I didn’t have the Clover, I would have to account for every meatball that went out this window by hand, and then hope, at the end of the day, week, or month, that my notes were accurate and legible.”
With Clover, it’s easy to track not just bottom line figures, but detailed breakdowns showing the most popular items, and the busiest times. If you have a food truck, for example, it is crucial to see which locations yield higher sales overall, and to track geographic preferences for different products.
As Meatball Joe gains momentum, Joe has had to hire additional staff. He said Clover allows him to stay up-to-date on all of the issues related to his business whether he’s physically there or not.
“When I hand things off to people, it’s difficult to let go, but you have to. Because I can’t be everywhere and I can’t do everything,” he said. “[Clover]’s been the tool that allows me to be at my business without physically being at my business.”
Delegating is a difficult task for entrepreneurs, but even Forbes thinks that successful business owners must establish a team before it is absolutely necessary. For a business to thrive, it has to have space to expand and grow.
Assigning tasks and responsibilities to others has been good for Joe. “It gives me more time to address other things, because while the service is the most important part of my business, there are so many things that go into making sure that service goes off flawlessly.”
At the end of the day—and the days are always long for business owners—it helps to know that a business is engaging in best practices for organizational tracking. Joe says it perfectly, “When you lay your head down at night, know that you did everything you needed to do, and hopefully you’ll be able to sleep.”



To learn more about Clover, visit www.clover.com.",Merchant Spotlight,"joe,meatball,meatball joe,joe run,joe paolercio,said clover,paolercio,proudly,sauce,physically",,,,,,
news_1,news,"Protect yourself: PCI, EMV, and You","This post will give you a quick glimpse into what you need to do to protect yourself from the looming threats of non-compliance with PCI (Payment Card Industry) and EMV (Europay, MasterCard, and Visa) standards.…",27-03-2016,https://blog.clover.com/better-business/protect-yourself-pci-emv-and-you/,"As a small business owner, you always want to do all you can to keep things running smoothly. One of the biggest areas of concern for small businesses today is compliance and data security. The difference between outdated processes and being fully compliant with your POS is as dramatic as night and day. It could mean the difference between being held financially responsible for non-compliant transactions and/or having credit card data compromised. This post will give you a quick glimpse into what you need to do to protect yourself from the looming threats of non-compliance with PCI (Payment Card Industry) and EMV (Europay, MasterCard, and Visa) standards.
We’ll start with PCI compliance. Simply stated, being PCI-compliant means a merchant is doing everything according to the Data Security Standard. One of the quickest ways to determine where your business stands is by going online and visiting PCI Rapid Comply Solution. It’s a simple PCI-compliance wizard that helps you find out how well you’re adhering to the latest security standards. It even has next steps to follow to make your compliance process as easy as possible.
Next up, EMV. In October 2015, all businesses that accept electronic payments were required to have EMV-compliant point-of-sale systems. EMV-compliant systems are capable of reading the extra security layers transmitted by EMV chip-enabled cards. When businesses don’t have a compliant point of sale system, they are automatically liable for any fraudulent transactions if they accept payment from an EMV chip card. So, being EMV-compliant means a merchant has the latest hardware to take the next-generation payment cards with the new security features. Ready to jump in? Go here.
Finally, let’s look at POS security. This is generally where you’re most vulnerable to data breaches.With Clover Security, you get the latest end-to-end encryption and tokenization technology to help protect your customers’ data from the moment their card is swiped. Knowing your POS system is protected ultimately provides the peace of mind you need to focus on doing what you do best—running your business.
Compliance isn’t just a good idea—it’s required. Lucky for you, if you have any questions about PCI, EMV or your POS, you can give us a call or send us an email. We’re always happy to help!



To learn more about Clover, visit www.clover.com.",Better Business,"security,emv,pci,compliance,card,mean merchant,security standard,standard,payment card,data",,,,,,
news_2,news,Small business lending made easy,"After an extended austerity period, there are now indications that America’s big banks are once again in the business of providing small business owners with the funds they need to realize their entrepreneurial ambitions. Here’s a look at some recent changes that occurred in the world of small business lending.   The state of post-recession […]…",13-04-2016,https://blog.clover.com/better-business/small-business-lending-made-easy/,"After an extended austerity period, there are now indications that America’s big banks are once again in the business of providing small business owners with the funds they need to realize their entrepreneurial ambitions. Here’s a look at some recent changes that occurred in the world of small business lending.
 
The state of post-recession small business lending
After the great recession of the late 2000s, most of the country’s major banks greatly reduced the number of small business loans they would issue per year. In addition to becoming considerably more risk averse post-recession, Karen Mills, the former head of the U.S. Small Business Administration noted that banks got out of the business of making small business loans because of the comparatively small ROI involved. However, with the economy now recovered from the hit it took in the recession, some of America’s biggest banks are reconsidering their lending habits.
 
A change in big banks’ thinking
In a recently published Entrepreneur article, Lisa Stevens, an executive vice president with Wells Fargo, revealed that her company is now very interested in issuing loans to qualified small business owners. She further explained that one in ten U.S. small business loans are now issued by Wells Fargo, and they only anticipate that number will increase in the near future. So why the about-face? Well, in addition to small businesses nationwide having better cash flow and less debt than they did in 2007, the small business lending market has gotten a lot more competitive in the last nine years.
 
The rise of the online lenders
For previous generations, the only way to get enough capital to start or expand a small business was getting a bank loan or securing funding from an independent investor. With the rise of the internet, entrepreneurs can now seek funding from a range of different online lenders. Companies like OnDeck, Kabbage and CAN Capital have enjoyed incredible success by offering small dollar loans to burgeoning entrepreneurs using a big data approach. Instead of just analyzing cash flow, credit score and assets, these online financiers use social media data and transaction volume to make their lending decisions. Seeing as OnDeck was recently evaluated at $1.5 billion, it’s no wonder that the big banks are interested in reentering what has turned out to be a very lucrative market. Whatever their motivation, the fact that banks are issuing more small business loans is good news for entrepreneurs.



To learn more about Clover, visit www.clover.com.",Better Business,"lending,loan,bank,small,small business,business loan,business lending,big bank,business,entrepreneur",,,,,,
news_3,news,Make change work in your favor,"Buzzwords like “change,” “adapt,” and “evolve” are often thrown around in regards to company policies, but with the exception of very small businesses and budding startups, it seems as though many companies are slow to implement meaningful changes. Even if those changes are made, they are may be lost after a few months or even […]…",14-04-2016,https://blog.clover.com/better-business/make-change-work-in-your-favor/,"Buzzwords like “change,” “adapt,” and “evolve” are often thrown around in regards to company policies, but with the exception of very small businesses and budding startups, it seems as though many companies are slow to implement meaningful changes. Even if those changes are made, they are may be lost after a few months or even a few weeks as the lure of the “old way” overcomes the façade of evolution.
Yep, let’s face it: Too often, desired changes fall flat.
How can you keep this from happening in your business? One secret is to be on the lookout for impediments to change. Here are the Top 7 issues that can, and probably will, come up:
1. Changing Too Much At Once
Change can be difficult, and one of the worst things you can do is to try and change everything at once. Whereas one change can present a solvable issue, many changes happening at once can result in a mess of confusion and insurmountable challenges. Instead, lay out a timeline for implementing changes gradually.
Bingo! Problem solved.
2. Refusing To Plan Past The Foundation
Once you have decided on a plan of action regarding company-wide changes, be absolutely sure you follow that plan through to the end. Not only is it disheartening to watch your plans fizzle, but by implementing some changes while abandoning others you are setting your business up for failure.
3. Rewarding the Old Ways
When make new changes within your business, it’s important that you alter the reward structure of your business to reflect those changes. If employees are still being rewarded based on old metrics, those are the things they will continue to do, and your changes will be slow to catch on if they catch on at all.
Before you put changes in place then, take time to refocus rewards on desired new outcomes.
4. Failing To Communicate The Vision
Have you ever tried to get directions from someone who knows where they’re going, but can’t explain how to get there?
No fun, that.
Indeed, it is difficult, if not impossible, to lead people to a new place if you can’t explain the journey in words they will understand. You need to be able to break down your vision for your company in a way that is clear, precise, and easy to understand. If everyone is not clear about the path, the chances are high that you won’t get to where you want to go.
5. Assuming Change is Easy
The only people who will tell you change is easy are people who will turn around and try to sell you their course on change.
Change always comes with challenges, even the smallest disruption to the status quo carries with it some confusion, clarity issues, and unforeseen circumstances. Planning for the worst will ensure that you have enough resources allocated to handle anything that comes your way, and if you get through a period of change relatively quickly, that just means you’ll have more resources for the next one.
6. Changing the Actions, Not the Culture
If there is a huge need for change within the company, more often than not it’s more to do with the culture of the company as a whole, and not necessarily specific actions. Therefore, when looking over making changes to improve your company’s overall functioning, be sure to address cultural issues within the company that may be hurting your productivity and success.
7. Leadership Doesn’t Change
Time and again, businesses fail to adapt to change because the leadership employs a “Do what we say, not what we do” attitude when it comes to implementing those changes. Who will follow that? No one.
Executives, boards, and other people in leadership roles need to set the example for employees by wholeheartedly adopting new way. They should also be able to explain the reasoning behind the changes, and to break down what the company hopes to accomplish by implementing them.
When everyone sees their leaders embracing change, they will be more likely to do it as well.



To learn more about Clover, visit www.clover.com.",Better Business,"change,implementing change,change change,company,implementing,easy people,change easy,t explain,explain,old way",,,,,,
news_4,news,Why checks still matter to your bottom line,"Consider the following scenarios: perhaps you’re opening up a new business or you’re updating your current point-of-sale systems. Traditionally you’ve taken credit cards and debit cards, and as always, cash is king, but what about other forms of payment? Specifically, what about checks? If you look at the numbers, there’s a lot of life left […]…",14-04-2016,https://blog.clover.com/better-business/why-checks-still-matter-to-your-bottom-line/,"Consider the following scenarios: perhaps you’re opening up a new business or you’re updating your current point-of-sale systems. Traditionally you’ve taken credit cards and debit cards, and as always, cash is king, but what about other forms of payment?
Specifically, what about checks?
If you look at the numbers, there’s a lot of life left in checks. For example, in a recent study, the Federal Reserve reports over 18 billion checks being paid with a total value of $26 trillion dollars—and that’s just paper or electronic checks alone.
So you see, there’s still a lot of money being exchanged via checks—but if you’re still not sure that checks are right for your business, we’ve compiled the following reasons you should reconsider:

Checks are very popular among consumers. How popular, you ask? According to the Federal Reserve Bank of Boston, millions of U.S. customers have checking accounts, but do not have a credit or debit card. In addition, a different study concluded that 90% of U.S. customers have a checking account. Considering their near ubiquity, perhaps you should consider adding this tried and true payment method.
Checks give consumers more options. That is, according to small businesses. According to a recent study by TeleCheck, 71% of small businesses agree that checks allow them to offer their customers more payment options.
Checks make consumers feel safer. According to 2015 TeleCheck research, many customers choose checks because they believe checks are less susceptible to fraud than payment cards. If you want to provide safe payment options, checks might be the way to go.
Checks pay more than other forms of payment. Did you know that the average credit card swipe is $50, and that the average check amount is 3x that? Bigger tickets for you mean bigger payoffs for your business, which is something every business owner strives for.
Checks don’t require someone to be internet/smartphone savvy.According to the Pew Research center, 15% of U.S. adults don’t use the internet. With such a resistance to technology, it’s important to businesses to cater to these consumers by offering payment options that they’re comfortable with—and that means checks.

Whether you’d like to admit it or not, checks are still alive and kicking, with millions of dollars being paid by checks every day by millions of consumers. If you’d like to capture your business’ share of those dollars, it’s important you offer a wide array of payment options that every consumer is comfortable, and today, those options still include checks.



To learn more about Clover, visit www.clover.com.",Better Business,"check,payment,payment option,consumer,option,option check,customer checking,federal reserve,checking account,telecheck",,,,,,
news_5,news,Mobile loyalty programs that work hard for your business,"Generally, each January, there are a lot of people rushing out to the gym to get memberships. Have you ever been one of those New Year’s resolution-eers who start the year with the best of intentions, only to never end up using your membership? Making a mobile loyalty program work for your business is a […]…",14-04-2016,https://blog.clover.com/better-business/mobile-loyalty-programs-that-work-hard-for-your-business/,"Generally, each January, there are a lot of people rushing out to the gym to get memberships. Have you ever been one of those New Year’s resolution-eers who start the year with the best of intentions, only to never end up using your membership?
Making a mobile loyalty program work for your business is a lot less work than hitting the gym, but in both cases, it’s impossible to achieve results if you don’t actually use it.
No loyalty program, no matter how good it is, will show significant results unless the merchant uses it consistently and correctly.
For both merchants and customers, most mobile loyalty programs are a breeze to use, but it only works if you work it.
Here are five steps to ensure success with your mobile loyalty program:
1. Try to observe if a newly arriving customer already has your loyalty program installed. With a loyalty program, generally you’ll know when a customer is already using a loyalty app, because they will “check in” via the consumer app on their mobile phone upon entering. But if they don’t check in, or give any other indicators of participating in your shop’s mobile loyalty program, this is a good time to ask, “would you like to receive rewards for shopping here?”
I highly recommend that your clerk use this exact phrasing because when put this way, customers will almost always say yes. Once the customer agrees, your clerk should reply, “great, let’s get you started.”
If the customer has any problems downloading the mobile loyalty app, the clerk should help out or find someone who can. It only takes a minute and now the merchant has “captured” another potential loyal customer. Alternatively, you can do all this at the time of payment.
2. Make whatever you use to validate program users very accessible.Depending on which mobile loyalty program you use, how you validate customers may vary, but regardless, make that validation process easy for employees. Having the validator near employees, or built into the POS, shows them the customer’s name and face as soon as they check in allowing the clerk to greet the customer by name effortlessly.
One barista told us that he never greeted customers by name because the validation screen was behind him. I’ve heard of many businesses have making the same oversight by placing the validator screen outside the clerk’s natural line of sight. Without this visual cue, the opportunity to greet the customer by name is lost.
3. Greet customers and shoppers by name. It is one of your most powerful loyalty-building actions. The sweetest sound to the human ear is the sound of our own name spoken by another, so take advantage of this powerful tool if your mobile loyalty program allows it. As soon as your customer checks in with their mobile loyalty app, their name and (if uploaded) their picture shows up on the validation screen, enabling the clerk to greet them by name.
Make sure that your clerk actually does greet each and every customer by name if your loyalty program allows it, and does so in a friendly, natural manner, without fail.
The personal recognition established when greeting the customer by name is the “open sesame” of customer loyalty, which translates to customer retention and regular visits.
4. Make the giving of rewards a happy and seamless experience. Make sure to have the customer rewards (whatever “prizes” you are offering for purchase behavior), readily on-hand, making it easy for your clerk to retrieve rewards to give to your customer. Making the experience easy to deliver and seamless to implement will not only make your employee more likely to deliver the optimal loyalty program experience,  but it will also make the visit a positive and more memorable experience for you customer.
5. Use a secret shopper. As the business owner or general manager, you absolutely should send in a “secret shopper” to verify that your mobile loyalty program training is being followed.  Do this randomly at least a few times per year to ensure your loyalty program’s success. It’s your business; it’s up to you to protect it.  Doing so could spell the difference between your loyalty program becoming a thriving success–or a disappointing failure.



To learn more about Clover, visit www.clover.com.",Better Business,"mobile loyalty,clerk,loyalty,loyalty program,program,greet,customer,mobile,greet customer,loyalty app",,,,,,
news_6,news,eCommerce: Local business’ best friend,"If you own a local business, does eCommerce matter to you? It should. Merchants often think of eCommerce as something that’s only for big, national or global businesses. Conventional wisdom says that if you own a mom-and-pop retail shop, a food truck or restaurant, or even a multi-location small business, your market isn’t large enough […]…",14-04-2016,https://blog.clover.com/better-business/ecommerce-local-business-best-friend/,"If you own a local business, does eCommerce matter to you? It should.
Merchants often think of eCommerce as something that’s only for big, national or global businesses. Conventional wisdom says that if you own a mom-and-pop retail shop, a food truck or restaurant, or even a multi-location small business, your market isn’t large enough to justify an investment in eCommerce. Most of your customers are local, and they know you. At least, that’s what many business owners think.
But is that really true?
Today, many consumers use smartphones and online searches to find products, services, deals, and business locations near them. Results from a Google study indicate that 50 percent of consumers are more likely to visit a store after performing a local online search via their smartphone1. In fact, nearly 1 in 5 local searches are followed by an in-store purchase within one day2.
Consider these examples of how local retailers are discovering ways that eCommerce can help their business:

Local car dealerships generate sales leads by using online car comparison sites to link potential buyers directly to dealers nearest the customer.
Salon owners can proactively fill appointment books through e?mail or texting campaigns during     off-peak times.
A local baking business is driving traffic to online ordering pages by using social media for photo sharing of freshly baked cupcakes.
A surf shop can demonstrate the latest surfboard by sharing a video demonstration of how to catch a wave with the latest surfing techniques.
For many businesses, giving shoppers the option of ordering and paying online from any device, and picking up the purchase in the store, is a huge advantage.

Most local businesses recognize that having a website is an essential part of doing business today. But what’s the best eCommerce strategy for your business? That depends on a lot of things. One of the best places to start is to contact an eCommerce specialist who can show you how eCommerce can help grow your business.



To learn more about Clover, visit www.clover.com.",Better Business,"ecommerce,local,ecommerce help,business,online search,online,search,car,sharing,ordering",,,,,,
news_7,news,How to make your website work overtime,"You think you’re ready to venture into the world of eCommerce? Having dreams of long lines of virtual customers queueing up from around the world? Before you throw open your virtual doors, make sure you’ve taken into consideration the following. Well-defined eCommerce business plan. Whether your eCommerce site is the first and only place you […]…",14-04-2016,https://blog.clover.com/better-business/how-to-make-your-website-work-overtime/,"You think you’re ready to venture into the world of eCommerce? Having dreams of long lines of virtual customers queueing up from around the world?
Before you throw open your virtual doors, make sure you’ve taken into consideration the following.
Well-defined eCommerce business plan.
Whether your eCommerce site is the first and only place you will do business, or it’s an extension of your existing business, you need to treat it with the same respect and undergo the same amount of planning as opening a traditional brick-and-mortar location. Though your eCommerce business plan will probably be much shorter than a traditional business plan, make sure you’ve addressed at least these key questions:

What are you selling?
Who is your target customer?
What is the problem you customer has — and how does your product solve that problem?
Who are your competitors in this space? What are their strengths and weaknesses — and how do you compare?
How does your eCommerce site directly build on your competitive point of differentiation?

Clear eCommerce value proposition.
You wouldn’t open a brick-and-mortar store named “Stuff,” because new customers wouldn’t know what you sold, and even existing customers would be a little wary of what they might find upon a return visit. Yet many eCommerce sites make the mistake of not clearly stating their value proposition.
Whether it’s “We are your reliable online source for fashionable eyeglass frames,” or “We provide digital consulting services for environmentally conscious ore mining,” a visitor to your site needs to immediately recognize what it is that you do for them.
High-quality product images.
One of the biggest hurdles to buying online is the inability to physically touch the product you’re purchasing. Don’t make things harder for your customers by using low-quality product images. Make extra effort to show the product views that you know your customers want. For example, some of the best online clothing retailers combine whole body shots, fabric and detail close-ups, and even short video clips of the clothing item on a real, moving model. You’re creating a virtual “fitting room” experience — and you don’t want dirty mirrors.
Tailored product descriptions.
Along with the product image, the brief description is replacing the entire experience of talking with an expert salesperson in a store. Going beyond stock product descriptions is a great way to nurture the value proposition of your eCommerce site. The descriptions should demonstrate your familiarity with the product and your confidence in its value.
Clear shipping & return policies.
Visit any major eCommerce site and you’re sure to see a mention of their shipping and return policies featured prominently — at all times — at the top of the page. If you offer free shipping or flat-rate shipping, flaunt it to your customers. Even if you’re not using your shipping and return policies as a differentiator, make sure that a link to your policies is prominently displayed, and that the policies themselves are easy to understand. Your customers are taking a leap of faith in buying online; you need to reassure them that everything after the purchase will follow a logical and reasonable order.
Reliable cart design.
If a store regularly had a 30-minute wait just to checkout, you can bet they’d lose plenty of customers halfway through the line. Plenty would never return. And, imagine if you got to the register and were told, “Sorry, looks like the register isn’t working at the moment. If you’d like to go to the back of the line, it might be working by the time you get up here again.” This is essentially what you’re doing to your customers when you don’t create a simple, reliable, and fast shopping cart and checkout process. Of all the different aspects of your eCommerce site to test and re-test, your checkout and cart functionality is likely the most critical.



To learn more about Clover, visit www.clover.com.",Better Business,"ecommerce,ecommerce site,shipping,site,shipping return,policy,product image,description,product,value proposition",,,,,,
news_8,news,Getting new customers is tough. Here are 7 ways to make it easier.,"If existing customers are the heart of a retail organization, then new customers have to be seen as a shot of adrenaline. But the age-old question is: how do you attract new customers? There’s clearly not a one-size-fits-all answer. (Otherwise, EVERYONE could do it.) But we do have seven things you can try to get […]…",14-04-2016,https://blog.clover.com/better-business/getting-new-customers-is-tough-here-are-7-ways-to-make-it-easier/,"If existing customers are the heart of a retail organization, then new customers have to be seen as a shot of adrenaline. But the age-old question is: how do you attract new customers? There’s clearly not a one-size-fits-all answer. (Otherwise, EVERYONE could do it.) But we do have seven things you can try to get your products or services in front of a new audience. They’re simple, inexpensive, and best of all—they work.
 
1. NEW never gets old: If you’ve been in business for a while, you probably have some “go to” marketing tricks you rely on. But a word of warning: the more you go to that well, the drier it’s going to get. Don’t forget—people love new. New helps shake things up, increasing the chances that your message will hit home with someone different. Print a flyer. Create a coupon. Buy billboard or bus bench space. Have a contest. These are just a couple of quick thoughts on new tactics you can take for a spin.
 
2. Did we mention the word ‘new?’: Insanity is defined as doing the same thing over and over again and expecting a different result. That’s why using the same marketing ploy too many times can be crazy bad for business. Offering something different, like a product, and letting people know about it, is the perfect way to get different people to check out what you’re all about.
 
3. Make everything click: Unlike your physical store, your URL never closes. No matter the state of your site (more on that in a bit), the secret to making money online lies in getting as many eyeballs to view it as possible. The more people who visit, the more likely you are to make a sale. The two best ways to get more clicks? SEO (Search Engine Optimization) and buying clicks with PPC (pay-per-click). Social media linkbacks work well, too.
 
4. What’s the good word?: Nothing works quite like word of mouth recommendations from a friend. It’s easier than you think to create an incentive referral program that can yield great results. The key? Give existing customers a compelling reason to refer business to you (aside from your every day excellence) and then remember to thank them for doing so. People like to be appreciated and told that their opinions matter.
 
5. Smile and dial: Whether it’s cold calling or sending out proposals, every so often you just gotta prospect. Do some search engine research, get a list of potential leads, and then get to it. Two things to keep in mind:
1. Don’t take ‘no’ personally.
2. You’ll miss out on 100% of the prospects you don’t contact. Keep going!
6. Make sure your site is up to snuff: Time to revisit what we said in #3. Did you know that 80% of Americans now spend as much time online as they do in front of the television? That means your site needs to be top-notch. Lucky for you, there’s a whole host of free, template-based site creators available online that make creating an eye-popping professional site easier than ever. There are even options to add full e-commerce support.
 
7. Get (social) networking: More and more, people are turning to social media to get info on companies they’re interested in. And why not? It’s quick, easy and anonymous. In fact, the numbers of “active Internet users” in a recent poll support that theory:
· 72% of respondents at least sometimes checked out a company’s reputation online before buying
· 74% based their buying decisions, at least partially, on what they read
· 81% thought that blogs, online rating systems and discussion boards gave them valuable feedback
The takeaway? Build up your social media and be as active as you can. People expect two-way conversation today, so the more you can talk with your users, the more likely they’ll continue connecting with you.
 
And, there you have it. Seven (possibly) new tricks that can make your day-to-day lives a little easier. We understand marketing doesn’t come naturally to everyone. In fact, we’d guess most small businesses hate having to try to toot their own horns. And that’s exactly why we’re here. We always want to do all we can to help you attract, engage and retain new customers.



To learn more about Clover, visit www.clover.com.",Better Business,"site,new,word,s,people,online,different,prospect,seven,search engine",,,,,,
news_9,news,Data breaches: How safe is your business? (Part I),"The headlines are increasingly filled with data breaches at some of the largest retailers and corporations in the world. Unfortunately, as these high-profile breaches garner attention, they’ve left small business owners with the impression that hackers and cybercriminals don’t bother targeting small businesses. How wrong they are: A survey by the Ponemon Institute found that more […]…",14-04-2016,https://blog.clover.com/better-business/data-breaches-how-safe-is-your-business/,"The headlines are increasingly filled with data breaches at some of the largest retailers and corporations in the world. Unfortunately, as these high-profile breaches garner attention, they’ve left small business owners with the impression that hackers and cybercriminals don’t bother targeting small businesses.
How wrong they are: A survey by the Ponemon Institute found that more than half of all small business had experienced a data breach, with 53% reporting multiple breaches. However, only 33% of those businesses notified those customers affected by the breach, despite the legal requirement in 46 states to notify individuals when personal information is compromised. This could leave these small businesses on the hook for tens of thousands in fines and legal fees, in addition to the significant costs of recovering from a data breach.
The lack of awareness, the resulting lack of preparedness, and the lack of— and the resulting lack of preparedness — could end up costing your business in a major way.
One Chicago-area small business owner learned this lesson the hard way. He received an email from his credit card processor, telling him that MasterCard had identified a compromise within his electronic POS system. Following an investigation, the processor claimed the breach was the result of the lack of basic security on the merchant’s part. A year later, he was still paying off more than $22,000 in expenses his business incurred as a result of the breach.
Could a data breach happen to you? Absolutely. Small businesses experience compromises every day. Even though the volume of electronic payment data that passes through small merchants’ POS systems is relatively small, it’s low-hanging fruit to a cyber-thief who doesn’t have to work to obtain that poorly protected data.
That’s why it’s as important as ever for your business to implement strong data security solutions, and to prepare a comprehensive data breach response plan.



To learn more about Clover, visit www.clover.com.",Better Business,"breach,data breach,lack,data,resulting lack,lack preparedness,small,compromise,business,processor",,,,,,
