Entity_ID,Entity_Type,Name,Description,Product_Type,Website_URL,Photo_Gallery,Product_Category,Answers_Keywords,News_ID,FAQ_ID,News_CONF,FAQ_CONF
products_0,product,Flex,Mobile payments. Fast and simple,Devices,https://clover.com/shop/clover-flex,,,,,,,
products_1,product,Go,"Accept swipe, dip, and tap payments from your phone",Devices,https://clover.com/shop/clover-go?0%5BbackgroundSize%5D=contain&0%5BbackgroundColor%5D=%23e5f9f8&0%5BbackgroundPosition%5D=right%20bottom&1%5BbackgroundSize%5D=auto%2085%25&1%5BbackgroundColor%5D=%23e5f9f8&1%5BbackgroundPosition%5D=right%20bottom,,,,,,,
products_2,product,Get a Clover Account,Start taking payments today. No hardware required.,Devices,https://clover.com/pos-systems/clover-account-payments,,,,,,,
products_3,product,Station Pro,A powerful point of sale for both sides of the counter,Devices,https://clover.com/pos-systems/clover-station-pro,,,,,,,
products_4,product,Mini,A complete point of sale in one compact package,Devices,https://clover.com/shop/clover-mini,,,,,,,
products_5,product,Station,"Our largest, fastest point of sale system",Devices,https://clover.com/shop/clover-station,,,,,,,
products_6,product,Station,Station for full-service restaurant,Devices,https://clover.com/shop/product/clover-station-table-service/with-printer,,,,,,,
products_7,product,Mini,Mini for full-service restaurant,Devices,https://clover.com/shop/product/mini-table-service/lte,,,,,,,
products_8,product,Analytics | BusinessQ,"Analytics BusinessQ app is unparalleled in helping merchants turn data into insights and action. 
Tailored for business owners, managers, accountants, controllers, suitable for any business type.
Join the merchants using this app to grow their revenue using data-driven insights - install free today!  

*TWO TYPES OF REPORTS
- Very fast overview reports for quick monitoring based on payments
- Very detailed reports based on orders: for tracking every aspect of Clover business and multidimensional analyses

*MULTI-LOCATION
- If you have more locations, you can see them all integrated into one report. We offer discounts for 5+ locations.

*UNDERSTAND YOUR BUSINESS
- Carefully designed and predefined reports, charts and business dashboards for everyday use
- Create your own reports
- Receive your favorite report on email

Below are just a few business dimensions that you can track in the app:
Order details and type, profit, employee, tender, device, customer, location, item, category, label, SKU, modifiers, daypart, day, day in a week, hourly sales distribution, day vs day, 2 periods comparisons, stock values...

*DIAGNOSTICS
- Analyze overpaid / underpaid orders, get access to 60+ columns per order for deep analyses

*DETAILED EXPORTS
Use maximum detailed excel/csv exports for integrations with your ERP/accounting/CRM systems

*ADDITIONAL: 
- use Analytics to define Employees Commission percentages, even per category sold

*INTEGRATIONS
If you are using MY REWARDS app (or are looking for a great loyalty app - https://www.clover.com/appmarket/apps/6XZ2KXFEVQPKT?clientCountry=US ) you will be happy to know that we have direct integration with them! 

A word from our customers:
https://businessq-software.com/analytics-for-clover-customers/

Additional info about App Tiers. 
https://businessq-software.com/analytics-for-clover-faq/

By installing Analytics App you agree to our privacy policy.",app,https://www.clover.com/appmarket/apps/QXVQ4MHDH37DP,https://www.clover.com/v2/image/AnalyticsappIcon.png_en_US_6337817205599204836_80x80.png,Understand Your Business,"report,business,details,use",,,,
products_9,product,BigCommerce,"Get started with a free 30-day trial to experience BigCommerce, the ecommerce solution that helps growing brands grow even faster.

Retailers on BigCommerce grow at 28% year over year on average, nearly twice as fast as the industry standard. Merchants choose BigCommerce for our stunning storefront templates, market-leading selling tools, and enterprise-grade site hosting and uptime.

Clover and BigCommerce make it easier than ever to spin up a new online store from your offline product catalogs. You'll be able to connect your Clover inventory catalog to seamlessly manage sales and inventory both online and in-person.

Plus, your Clover payment gateway is integrated with BigCommerce so you’ll be able to see your transactions offline and online, all through Clover.

With BigCommerce, you can easily sell your products across Instagram, Amazon, eBay and more, all a few clicks away after connecting your Clover account.

The best part? Our integration with Clover is free to use across all plan types. 

Start your 30-day trial of BigCommerce for free. With our Clover integration, we'll help you easily get your products online. Visit www.bigcommerce.com/clover to get started.",app,https://www.clover.com/appmarket/apps/W2XYFR4N5W1BY,https://www.clover.com/v2/image/b-logo_200x200.png_en_US_3378705662236101365_80x80.png,Sell Online,"clover,bigcommerce,online,sell,grow",,,,
products_10,product,Business Insurance,"AP Intego finds the best priced coverages to meet your needs.
Call 866.259.7773

AP Intego works with you to understand what makes your small business unique, and then we shop across carriers to find the best-priced coverages to meet your needs. Thanks to our innovative process, getting covered is easy! And we guarantee a full range of support and service after your policy purchase.",app,https://www.clover.com/appmarket/apps/TECD2V4CPKC44,https://www.clover.com/v2/image/AP_INTEGO_Logo_200x200.png_en_US_6167070640025135530_80x80.png,"Must-Have Apps,Save on Business Expenses,New & Notable","business,intego,priced,process getting",,,,
